names,comments,commits,issues,pulls,primary_key
mbostock,226,1677,51,143,126
jasondavies,86,477,18,276,87
jfirebaugh,11,1,2,3,91
anthonime,6,0,4,0,16
tpreusse,6,0,0,0,190
will-vertigo,6,0,2,0,200
bigsley,4,0,1,1,26
scameron,4,0,3,0,164
afanasy,3,0,2,0,7
baversjo,3,0,4,0,22
jaredly,3,2,1,1,86
justinjhendrick,3,0,1,0,100
natevw,3,4,1,5,142
artzub,2,0,0,0,19
bobbydavid,2,0,1,0,30
meggarr,2,0,0,0,130
mrcarlosrendon,2,7,3,1,138
niemyjski,2,0,1,0,147
notlion,2,0,1,1,148
twobit,2,0,1,0,194
Ankit-Bhatia,1,0,1,0,15
aprilrd,1,0,1,1,18
bennlich,1,0,1,0,25
billyeh,1,0,1,0,27
brzpegasus,1,0,1,0,32
cherihung,1,0,1,0,35
chriserickson,1,0,1,0,36
danielepennati,1,0,1,0,45
dannyko,1,0,0,0,47
eshikerya,1,0,0,0,56
fabriciotav,1,0,1,1,57
felipellrocha,1,0,1,0,58
j0hnsmith,1,0,1,0,83
jandic,1,0,1,0,85
kforeman,1,0,1,1,104
KimGressens,1,0,0,0,105
kosiakk,1,0,1,1,108
LinguisticsStudent,1,0,1,0,114
mageekguy,1,0,1,0,119
markfink,1,0,1,0,124
mdintgrp,1,0,0,0,129
moshbit,1,0,1,1,136
necolas,1,0,0,0,144
nrabinowitz,1,0,1,0,149
pjanik,1,0,1,0,153
rashidul04,1,0,1,0,159
sebastien,1,0,1,0,168
shilad,1,0,2,1,170
thedeeno,1,0,1,0,183
theq629,1,0,1,0,186
tristen,1,0,1,0,193
wahlatlas,1,0,1,0,198
abernier,0,0,0,1,1
abh,0,0,0,1,2
adhertz,0,0,0,1,3
adnan-wahab,0,1,1,1,4
aeisenberg,0,0,1,0,5
aeosynth,0,0,0,1,6
ajcollins,0,0,0,1,8
ajtulloch,0,0,0,1,9
alecf,0,0,0,1,10
alexstrat,0,1,0,1,11
andrewhubbs,0,0,1,0,12
AndruByrne,0,0,0,1,13
andycjw,0,1,0,1,14
aogriffiths,0,0,0,1,17
asuth,0,2,0,1,20
AWinterman,0,0,0,1,21
bchogan,0,0,1,0,23
bdon,0,1,0,2,24
biovisualize,0,2,0,2,28
bixente,0,0,0,1,29
boothead,0,0,0,1,31
Caged,0,1,0,2,33
calvinmetcalf,0,1,0,1,34
chrisgemignani,0,0,0,1,37
ChristopherHackett,0,0,1,0,38
clkao,0,2,0,1,39
conorbranagan,0,0,0,1,40
crajivgandhim,0,0,1,0,41
cscheid,0,1,0,2,42
dadleyy,0,0,0,1,43
dancrumb,0,0,0,1,44
danmilon,0,1,0,1,46
danse,0,0,0,1,48
darwin,0,0,0,1,49
deanmalmgren,0,0,0,2,50
drio,0,0,0,1,51
drslump,0,0,0,1,52
eghm,0,0,0,1,53
electronicpatterns,0,0,1,0,54
enjalot,0,0,0,1,55
Freeyorp,0,0,1,1,59
